The start time is: Sun, 19 Jun 2022 15:20:23
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_compound_2100.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
777		Ok	0.062
776		Ok	0
775		Ok	0.016
774		Ok	0.062
773		Ok	0.016
772		Ok	0.062
771		Ok	0.032
770		Ok	0.093
769		Ok	0
768		Ok	0.016
767		Ok	0
766		Ok	0.062
765		Ok	0.016
764		Ok	0.016
763		Ok	0.069
762		Ok	0.015
761		Ok	0.061
760		Ok	0.058
759		Ok	0.006
758		Ok	0.02
757		Ok	0.069
756		Ok	0
755		Ok	0.078
754		Ok	0.078
753		Ok	0.016
752		Ok	0.015
751		Ok	0.094
750		Ok	0.062
749		Ok	0.016
748		Ok	0.016
747		Ok	0.062
746		Ok	0.016
745		Ok	0.078
744		Ok	0.016
743		Ok	0.062
742		Ok	0.016
741		Ok	0.015
740		Ok	0.063
739		Ok	0
738		Ok	0.031
737		Ok	0.063
736		Ok	0.015
735		Ok	0
734		Ok	0.063
733		Ok	0.015
732		Ok	0.203
731		Ok	0
730		Ok	0.016
729		Ok	0
728		Ok	0.047
727		Ok	0.015
726		Ok	0.047
725		Ok	0.016
724		Ok	0.047
723		Ok	0.047
722		Ok	0.062
721		Ok	0.016
720		Ok	0.047
719		Ok	0.031
718		Ok	0.062
717		Ok	0.11
716		Ok	0
715		Ok	0.031
714		Ok	0.063
713		Ok	0.015
712		Ok	0
711		Ok	0.016
710		Ok	0.062
709		Ok	0.016
708		Ok	0.031
707		Ok	0.016
706		Ok	0
705		Ok	0.015
704		Ok	0.063
703		Ok	0.016
702		Ok	0.031
701		Ok	0
700		Ok	0.078
699		Ok	0.016
698		Ok	0
697		Ok	0.015
696		Ok	0.063
695		Ok	0.015
694		Ok	0.094
693		Ok	0.031
692		Ok	0.078
691		Ok	0.016
690		Ok	0.016
689		Ok	0.047
688		Ok	0.078
687		Ok	0.062
686		Ok	0.016
685		Ok	0.015
684		Ok	0.063
683		Ok	0.016
682		Ok	0.015
681		Ok	0
680		Ok	0.063
679		Ok	0.015
678		Ok	0.018
677		Ok	0.065
676		Ok	0.009
675		Ok	0.007
674		Ok	0.046
673		Ok	0.018
672		Ok	0.056
671		Ok	0.017
670		Ok	0.062
669		Ok	0.016
668		Ok	0.078
667		Ok	0.016
666		Ok	0
665		Ok	0.015
664		Ok	0.079
663		Ok	0
662		Ok	0.015
661		Ok	0.063
660		Ok	0.015
659		Ok	0.016
658		Ok	0.062
657		Ok	0.016
656		Ok	0.016
655		Ok	0.062
654		Ok	0.031
653		Ok	0.078
652		Ok	0.016
651		Ok	0.063
650		Ok	0.093
649		Ok	0.016
648		Ok	0.016
647		Ok	0.062
646		Ok	0
645		Ok	0.094
644		Ok	0
643		Ok	0.109
642		Ok	0.016
641		Ok	0.078
640		Ok	0
639		Ok	0.031
638		Ok	0.032
637		Ok	0.015
636		Ok	0.063
635		Ok	0
634		Ok	0.015
633		Ok	0.078
632		Ok	0.203
631		Ok	0
630		Ok	0.016
629		Ok	0.031
628		Ok	0
627		Ok	0.031
626		Ok	0.016
625		Subgroup deleted	0.015
624		Ok	0.016
623		Ok	0.016
622		Ok	0.015
621		Ok	0.016
620		Ok	0.016
619		Ok	0.015
618		Ok	0.016
617		Ok	0.078
616		Ok	0
615		Ok	0.016
614		Ok	0.046
613		Ok	0.032
612		Ok	0
611		Ok	0.062
610		Ok	0.031
609		Ok	0.063
608		Ok	0.016
607		Ok	0.015
606		Ok	0.047
605		Ok	0.016
604		Ok	0.047
603		Ok	0.015
602		Ok	0.047
601		Ok	0.031
600		Ok	0.047
599		Ok	0.063
598		Ok	0.015
597		Subgroup deleted	0.016
596		Subgroup deleted	0.016
595		Ok	0.015
594		Ok	0.047
593		Subgroup deleted	0.125
592		Ok	0.031
591		Subgroup deleted	0
590		Ok	0.047
589		Subgroup deleted	0.031
588		Ok	0.079
587		Ok	0.078
586		Subgroup deleted	0.015
585		Ok	0.063
584		Ok	0.031
583		Ok	0.063
582		Ok	0.015
581		Ok	0.016
580		Ok	0.047
579		Ok	0.015
578		Ok	0.016
577		Ok	0.047
576		Ok	0.031
575		Ok	0.094
574		Ok	0.062
573		Ok	0.078
572		Ok	0.085
571		Ok	0.016
570		Ok	0.054
569		Subgroup deleted	0.055
568		Subgroup deleted	0.026
567		Ok	0.062
566		Ok	0.016
565		Ok	0.078
564		Ok	0.078
563		Ok	0
562		Ok	0.032
561		Ok	0.046
560		Ok	0.016
559		Ok	0
558		Ok	0.078
557		Ok	0
556		Ok	0.094
555		Ok	0.016
554		Ok	0.062
553		Ok	0.094
552		Ok	0
551		Ok	0.015
550		Ok	0.079
549		Ok	0.093
548		Ok	0
547		Ok	0.032
546		Subgroup deleted	0.062
545		Subgroup deleted	0.109
544		Ok	0.016
543		Ok	0.078
542		Ok	0.016
541		Ok	0.015
540		Ok	0.063
539		Ok	0.016
538		Ok	0
537		Ok	0.062
536		Ok	0.016
535		Ok	0.078
534		Ok	0
533		Ok	0.015
532		Ok	0.375
531		Ok	0.047
530		Ok	0.078
529		Ok	0.016
528		Ok	0.015
527		Ok	0.078
526		Ok	0
525		Ok	0.047
524		Ok	0.094
523		Ok	0.016
522		Ok	0.078
521		Ok	0.062
520		Ok	0.078
519		Ok	0.032
518		Ok	0.078
517		Ok	0.015
516		Ok	0.063
515		Ok	0.015
514		Ok	0.016
513		Ok	0.063
512		Ok	0.078
511		Ok	0.015
510		Ok	0.032
509		Ok	0.078
508		Ok	0
507		Ok	0.031
506		Ok	0.094
505		Ok	0
504		Ok	0.062
503		Ok	0.016
502		Ok	0.078
501		Subgroup deleted	0.047
500		Ok	0.078
499		Ok	0
498		Ok	0.016
497		Ok	0.078
496		Ok	0.015
495		Ok	0.063
494		Ok	0.012
493		Ok	0.066
492		Ok	0.017
491		Ok	0.057
490		Ok	0.083
489		Ok	0.063
488		Ok	0.015
487		Ok	0.016
486		Ok	0
485		Ok	0.063
484		Ok	0.015
483		Ok	0.047
482		Ok	0.016
481		Ok	0.015
480		Ok	0.094
479		Ok	0.047
478		Ok	0.016
477		Ok	0.015
476		Ok	0.078
475		Ok	0.016
